-4.0,0.04915522784939384,10.72,32.0
9.0,0.11026662964865422,7.29,33.0
4.0,0.1411315544174784,9.03,32.0
5.0,0.16405767719511954,9.92,30.0
7.0,0.18816161955183933,11.0,32.0
5.0,0.18523288434494065,11.31,32.0
9.0,0.1675952414227554,12.04,32.0
3.0,0.16139823174739315,8.38,31.0
7.0,0.16934986033044605,9.92,31.0
10.0,0.19030169348648368,10.58,33.0
5.0,0.17275903601422418,8.98,31.0
9.0,0.18121134313077375,11.53,31.0
8.0,0.16569818112772458,7.04,32.0
7.0,0.17376716199012085,11.53,32.0
12.0,0.1746452807700298,12.15,30.0
7.0,0.20226504346078839,10.54,33.0
10.0,0.17020450865448683,11.17,32.0
8.0,0.2169956950696724,10.5,41.0
10.0,0.09156422946023703,10.78,21.0
10.0,0.2768690592263693,11.3,32.0
12.0,0.17815775588966895,9.73,32.0
8.0,0.17906096377757597,11.86,32.0
8.0,0.16759524142275528,9.96,31.0
9.0,0.1775337654939903,9.72,32.0
10.0,0.17640151832985002,10.67,31.0
11.0,0.19120813867864853,10.44,33.0
7.0,0.18047127575743002,12.2,31.0
4.0,0.16844341513828118,10.69,32.0
10.0,0.16230143963530094,8.84,32.0
5.0,0.16847336020266424,9.43,31.0
7.0,0.18390478027320611,9.04,32.0
5.0,0.1737671619901206,9.89,31.0
4.0,0.1720950943410016,11.57,33.0
2.0,0.14624060913695291,8.71,31.0
5.0,0.174814429917497,10.81,32.0
2.0,0.05115669120673629,7.51,32.0
8.0,0.12790427257083947,10.0,33.0
5.0,0.18047127575743058,9.26,37.0
9.0,0.15180402123238024,9.3,30.0
6.0,0.1919350213946511,10.49,32.0
6.0,0.15347007362020879,7.42,27.0
5.0,0.20175359734812984,10.42,31.0
7.0,0.173001539533167,9.54,31.0
11.0,0.19574036463947236,8.96,33.0
5.0,0.17876825751760586,11.91,31.0
10.0,0.18574356909159787,9.89,31.0
5.0,0.17572087510966108,9.51,32.0
12.0,0.17022959776248442,8.29,32.0
10.0,0.17993908255748542,10.84,32.0
8.0,0.1843547655650308,9.18,31.0
9.0,0.186650014283763,11.55,31.0
9.0,0.1757208751096616,11.25,32.0
6.0,0.17464528077002955,10.21,33.0
10.0,0.17448638308604647,10.13,30.0
5.0,0.19474500149036192,11.03,32.0
19.0,0.18786724068466967,10.66,32.0
3.0,0.17552339954993953,11.86,32.0
9.0,0.1737671619901206,9.58,31.0
10.0,0.19120813867864908,11.19,32.0
9.0,0.1843547655650308,10.91,32.0
9.0,0.18786724068466917,12.91,31.0
3.0,0.17206919590694067,9.76,32.0
10.0,0.16847336020266523,8.76,32.0
8.0,0.17906096377757597,10.04,32.0
3.0,0.1799390825574849,9.01,31.0
8.0,0.18665001428376246,10.52,32.0
2.0,0.16052011296748345,12.12,32.0
5.0,0.15700763784784455,10.01,32.0
7.0,0.17022959776248417,9.01,31.0
5.0,0.1802789995045477,10.82,31.0
0.0,0.05645858625483592,6.23,32.0
1.0,0.11907290655574813,8.6,33.0
11.0,0.17704091044578354,7.9,37.0
4.0,0.15180402123238035,12.94,31.0
4.0,0.18483712389943305,8.25,31.0
9.0,0.15660783077201493,12.67,27.0
6.0,0.19863139724178416,13.41,30.0
5.0,0.17309477389578973,5.99,32.0
7.0,0.17464528077003005,10.68,32.0
11.0,0.1816953201173046,9.98,32.0
4.0,0.18172040922530214,11.53,31.0
7.0,0.18209188988887665,9.91,32.0
8.0,0.16230143963530017,8.92,32.0
7.0,0.17464528077003005,9.69,32.0
12.0,0.18345155767712404,7.62,31.0
2.0,0.1903016934864834,8.56,32.0
15.0,0.17640151832984952,11.76,32.0
10.0,0.1631795584152099,9.66,31.0
9.0,0.18209188988887692,10.32,31.0
11.0,0.18483712389943324,10.43,32.0
7.0,0.18786724068466967,8.42,32.0
11.0,0.17288904321021012,14.77,31.0
13.0,0.1739079847253324,9.86,32.0
11.0,0.1719858353223036,10.12,32.0
10.0,0.18523288434494026,9.91,32.0
12.0,0.1825734388972143,10.77,32.0
1.0,0.18169532011730485,10.49,31.0
9.0,0.16844341513828118,8.72,31.0
7.0,0.17390798472533187,10.57,33.0
4.0,0.17448638308604594,10.56,32.0
4.0,0.17640151832984952,11.82,31.0
6.0,0.18027899950454665,11.04,31.0
5.0,0.16663052475395196,11.83,33.0
8.0,0.15480435800007222,10.13,32.0
4.0,0.16759524142275528,8.51,30.0
